"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDxzCCA02gAwIBAgISBDcVG+e0BqYoegQcVV3xx4cWMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNjAeFw0yNTAxMzExODIxMDdaFw0yNTA1MDExODIxMDZaMCcxJTAjBgNVBAMTHGJhc2VkZXNsaWV1eC5jdWx0dXJlLmdvdXYuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAATQYSU40twpjMIEimkLIzRlKDZgB9LjYekClBNt74IhTi5ixgVq40PiHvb2Ke1heOiYctjGbJ/a1Wl1ESv3IplBo4ICTDCCAkgwDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQJxdxhpCF+VHMa4cpp0rQN6IjKRjAfBgNVHSMEGDAWgBSTJ0aYA6lRaI6Y1sRCSNsjv1iU0jBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9lNi5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL2U2LmkubGVuY3Iub3JnLzBWBgNVHREETzBNghxiYXNlZGVzbGlldXguY3VsdHVyZS5nb3V2LmZyghVjYXJ0ZS5jdWx0dXJlLmdvdXYuZnKCFmNhcnRlcy5jdWx0dXJlLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQDM+w9qhXEJZf6Vm1PO6bJ8IumFXA2XjbapflTA/kwNsAAAAZS9zfEfAAAEAwBGMEQCIC3aIFKFbsSxb9NTKrRDyPCl4ZPMS8vqaG79RhJ4QcvqAiBraGTfMKEzKMyFC3bT99CptDdRGDTCxvOWOkgxTzTX9AB2ABNK3xq1mEIJeAxv70x6kaQWtyNJzlhXat+u2qfCq+AiAAABlL3N8gEAAAQDAEcwRQIhALs8lgiSfE737VRXh7v94t2CUvCOkYF56OWJOgtnkZnPAiAN8/4669jXkhtwHkbFy/tuAD4RzAV8QkcGDvmwtiMk2zAKBggqhkjOPQQDAwNoADBlAjBstewenVe6kvyVknIEHzD/6pjGA8oJbt+00Bqp6AuRuRpEZqczXIFrMI1UIoMwjE8CMQDxVj3VlNWt5/wP9vUWJeTSRtyfiBC3EDHfTfOFofnPGAm5FLRz+gC9myUftYPHSsM=\n-----END CERTIFICATE-----","",""
"cert_commonName","basedeslieux.culture.gouv.fr/94.23.123.122","443","OK","basedeslieux.culture.gouv.fr","",""
"cert_commonName_wo_SNI","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","*.fr-3.platformsh.site","",""
"cert_subjectAltName","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","basedeslieux.culture.gouv.fr carte.culture.gouv.fr cartes.culture.gouv.fr","",""
"cert_trust","basedeslieux.culture.gouv.fr/94.23.123.122","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","basedeslieux.culture.gouv.fr/94.23.123.122","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","basedeslieux.culture.gouv.fr/94.23.123.122","443","OK","passed.","",""
"cert_certificatePolicies_EV","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","no","",""
"cert_expirationStatus","basedeslieux.culture.gouv.fr/94.23.123.122","443","OK","60 >= 30 days","",""
"cert_notBefore","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","2025-01-31 18:21","",""
"cert_notAfter","basedeslieux.culture.gouv.fr/94.23.123.122","443","OK","2025-05-01 18:21","",""
"cert_extlifeSpan","basedeslieux.culture.gouv.fr/94.23.123.122","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","not present","",""
